,STATE,AMNT,AAdams number of donations
0,CA,290.0,3
1,CO,400.0,1
2,CT,1175.0,9
3,DC,175.0,3
4,FL,760.0,6
5,GA,295.0,9
6,IL,25.0,1
7,MA,5.0,1
8,MD,490.0,7
9,MI,10.0,1
10,MN,10.0,1
11,NC,5.0,1
12,NJ,605.0,10
13,OK,30.0,1
14,PA,1040.0,4
15,RI,100.0,1
16,SC,45.0,2
17,TX,51.0,4
18,WI,250.0,1
